Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0603,2,100nF,
"C11, C12, C13, C14",0603,4,22uF,
"C2, C5, C7",0603,3,100pF,
"C3, C6",0603,2,2.2uF,
C4,0603,1,4.7uF,
"C8, C9",0603,2,0.1uF,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J3,TouchSlider-8_50x20mm,1,Conn_01x08,
J4,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Conn_01x02,
J6,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04,
L1,IND-SMD_L5.8-W5.8,1,3.9uH,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,470,
"R10, R11, R12, R16, R17",0603,5,4.7k,
"R18, R19, R20, R21",0603,4,1k,
"R22, R23",0603,2,10k,
RV1,PinHeader_1x03_P2.54mm_Horizontal,1,R_Potentiometer,
"SW1, SW2",KEY-SMD_4P-L4.2-W3.25-P2.15-TL,2,PTS815SJM250SMTRLFS,C2689510
U1,WQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,1,IQS7222A001QNR,C3827627
U6,TSOT-23-6,1,AP63203WU,
U7,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
