Designator,Mid X,Mid Y,Rotation,Layer
C1,61.725,-154.75,0.0,top
C10,84.525,-160.2,180.0,top
C11,85.475,-153.7,180.0,top
C12,85.475,-151.95,180.0,top
C13,82.5,-153.7,0.0,top
C14,82.475,-151.95,0.0,top
C2,61.775,-159.75,0.0,top
C3,59.975,-158.0,0.0,top
C4,69.25,-156.975,90.0,top
C5,62.55,-157.225,270.0,top
C6,59.975,-156.5,0.0,top
C7,71.0,-156.975,90.0,top
C8,42.75,-157.025,270.0,top
C9,51.75,-157.025,270.0,top
J1,56.25,-146.25,90.0,top
J2,74.4,-159.0,0.0,top
J3,65.0625,-175.0,0.0,top
J4,65.0,-93.65,0.0,top
J6,76.325,-140.3125,0.0,top
L1,90.25,-157.75,90.0,top
R1,41.425,-163.75,0.0,top
R10,65.75,-153.175,90.0,top
R11,64.25,-153.175,90.0,top
R12,67.25,-153.175,90.0,top
R16,52.825,-149.24,0.0,top
R17,52.825,-150.75,0.0,top
R18,45.175,-156.25,180.0,top
R19,54.425,-155.75,180.0,top
R2,49.575,-163.75,0.0,top
R20,78.0,-145.075,270.0,top
R21,75.49,-145.075,270.0,top
R22,79.5,-145.075,270.0,top
R23,74.0,-145.075,270.0,top
R3,55.825,-163.75,0.0,top
R4,62.175,-163.75,0.0,top
R5,68.425,-163.75,0.0,top
R6,74.825,-163.75,0.0,top
R7,80.925,-163.75,0.0,top
R8,87.175,-163.75,0.0,top
RV1,52.5,-139.25,0.0,top
SW1,39.94,-158.0,90.0,top
SW2,49.0,-158.0,90.0,top
U1,65.75,-158.75,270.0,top
U2,60.0,-117.5,180.0,top
U6,83.55,-157.0875,90.0,top
U7,43.35,-145.0,90.0,top
